split,label,archive_path
phishIRIS_DL_Dataset,train,phishIRIS_DL_Dataset/phishIRIS_DL_Dataset/train/alibaba/alibaba (37).png
phishIRIS_DL_Dataset,train,phishIRIS_DL_Dataset/phishIRIS_DL_Dataset/train/boa/boa (40).png
phishIRIS_DL_Dataset,train,phishIRIS_DL_Dataset/phishIRIS_DL_Dataset/train/chase/chase (52).png
phishIRIS_DL_Dataset,train,phishIRIS_DL_Dataset/phishIRIS_DL_Dataset/train/other/other (143).png
phishIRIS_DL_Dataset,train,phishIRIS_DL_Dataset/phishIRIS_DL_Dataset/train/other/other (20).jpg
phishIRIS_DL_Dataset,train,phishIRIS_DL_Dataset/phishIRIS_DL_Dataset/train/other/other (84).png
phishIRIS_DL_Dataset,train,phishIRIS_DL_Dataset/phishIRIS_DL_Dataset/train/paypal/paypal (8).jpg
phishIRIS_DL_Dataset,train,phishIRIS_DL_Dataset/phishIRIS_DL_Dataset/train/yahoo/yahoo (45).png
val,adobe,phishIRIS_DL_Dataset/val/adobe/adobe_test (11).png
val,adobe,phishIRIS_DL_Dataset/val/adobe/adobe_test (12).png
val,adobe,phishIRIS_DL_Dataset/val/adobe/adobe_test (18).png
val,adobe,phishIRIS_DL_Dataset/val/adobe/adobe_test (2).png
val,adobe,phishIRIS_DL_Dataset/val/adobe/adobe_test (20).png
val,adobe,phishIRIS_DL_Dataset/val/adobe/adobe_test (23).png
val,adobe,phishIRIS_DL_Dataset/val/adobe/adobe_test (25).png
val,adobe,phishIRIS_DL_Dataset/val/adobe/adobe_test (7).png
val,alibaba,phishIRIS_DL_Dataset/val/alibaba/alibaba_test (1).jpg
val,alibaba,phishIRIS_DL_Dataset/val/alibaba/alibaba_test (10).png
val,alibaba,phishIRIS_DL_Dataset/val/alibaba/alibaba_test (11).png
val,alibaba,phishIRIS_DL_Dataset/val/alibaba/alibaba_test (15).png
val,alibaba,phishIRIS_DL_Dataset/val/alibaba/alibaba_test (17).png
val,alibaba,phishIRIS_DL_Dataset/val/alibaba/alibaba_test (19).png
val,alibaba,phishIRIS_DL_Dataset/val/alibaba/alibaba_test (5).jpg
val,alibaba,phishIRIS_DL_Dataset/val/alibaba/alibaba_test (5).png
val,amazon,phishIRIS_DL_Dataset/val/amazon/amazon_test (1).jpg
val,amazon,phishIRIS_DL_Dataset/val/amazon/amazon_test (1).png
val,amazon,phishIRIS_DL_Dataset/val/amazon/amazon_test (2).png
val,amazon,phishIRIS_DL_Dataset/val/amazon/amazon_test (3).png
val,amazon,phishIRIS_DL_Dataset/val/amazon/amazon_test (4).png
val,amazon,phishIRIS_DL_Dataset/val/amazon/amazon_test (6).png
val,amazon,phishIRIS_DL_Dataset/val/amazon/amazon_test (7).png
val,amazon,phishIRIS_DL_Dataset/val/amazon/amazon_test (8).png
val,apple,phishIRIS_DL_Dataset/val/apple/apple_test (1).png
val,apple,phishIRIS_DL_Dataset/val/apple/apple_test (11).png
val,apple,phishIRIS_DL_Dataset/val/apple/apple_test (14).png
val,apple,phishIRIS_DL_Dataset/val/apple/apple_test (2).png
val,apple,phishIRIS_DL_Dataset/val/apple/apple_test (5).png
val,apple,phishIRIS_DL_Dataset/val/apple/apple_test (6).png
val,apple,phishIRIS_DL_Dataset/val/apple/apple_test (7).png
val,apple,phishIRIS_DL_Dataset/val/apple/apple_test (8).png
val,boa,phishIRIS_DL_Dataset/val/boa/boa_test (16).png
val,boa,phishIRIS_DL_Dataset/val/boa/boa_test (2).jpeg
val,boa,phishIRIS_DL_Dataset/val/boa/boa_test (22).png
val,boa,phishIRIS_DL_Dataset/val/boa/boa_test (23).png
val,boa,phishIRIS_DL_Dataset/val/boa/boa_test (3).jpg
val,boa,phishIRIS_DL_Dataset/val/boa/boa_test (5).png
val,boa,phishIRIS_DL_Dataset/val/boa/boa_test (6).png
val,boa,phishIRIS_DL_Dataset/val/boa/boa_test (9).jpg
val,chase,phishIRIS_DL_Dataset/val/chase/chase_test (10).jpg
val,chase,phishIRIS_DL_Dataset/val/chase/chase_test (11).png
val,chase,phishIRIS_DL_Dataset/val/chase/chase_test (12).jpg
val,chase,phishIRIS_DL_Dataset/val/chase/chase_test (20).png
val,chase,phishIRIS_DL_Dataset/val/chase/chase_test (3).jpg
val,chase,phishIRIS_DL_Dataset/val/chase/chase_test (4).jpg
val,chase,phishIRIS_DL_Dataset/val/chase/chase_test (5).jpg
val,chase,phishIRIS_DL_Dataset/val/chase/chase_test (6).png
val,dhl,phishIRIS_DL_Dataset/val/dhl/dhl_test (1).jpg
val,dhl,phishIRIS_DL_Dataset/val/dhl/dhl_test (13).jpg
val,dhl,phishIRIS_DL_Dataset/val/dhl/dhl_test (16).png
val,dhl,phishIRIS_DL_Dataset/val/dhl/dhl_test (23).png
val,dhl,phishIRIS_DL_Dataset/val/dhl/dhl_test (4).png
val,dhl,phishIRIS_DL_Dataset/val/dhl/dhl_test (6).png
val,dhl,phishIRIS_DL_Dataset/val/dhl/dhl_test (7).jpg
val,dhl,phishIRIS_DL_Dataset/val/dhl/dhl_test (8).jpg
val,dropbox,phishIRIS_DL_Dataset/val/dropbox/dropbox_test (11).jpg
val,dropbox,phishIRIS_DL_Dataset/val/dropbox/dropbox_test (11).png
val,dropbox,phishIRIS_DL_Dataset/val/dropbox/dropbox_test (14).png
val,dropbox,phishIRIS_DL_Dataset/val/dropbox/dropbox_test (18).png
val,dropbox,phishIRIS_DL_Dataset/val/dropbox/dropbox_test (21).png
val,dropbox,phishIRIS_DL_Dataset/val/dropbox/dropbox_test (23).png
val,dropbox,phishIRIS_DL_Dataset/val/dropbox/dropbox_test (7).jpg
val,dropbox,phishIRIS_DL_Dataset/val/dropbox/dropbox_test (8).png
val,facebook,phishIRIS_DL_Dataset/val/facebook/facebook_test (11).png
val,facebook,phishIRIS_DL_Dataset/val/facebook/facebook_test (17).png
val,facebook,phishIRIS_DL_Dataset/val/facebook/facebook_test (18).png
val,facebook,phishIRIS_DL_Dataset/val/facebook/facebook_test (2).png
val,facebook,phishIRIS_DL_Dataset/val/facebook/facebook_test (25).png
val,facebook,phishIRIS_DL_Dataset/val/facebook/facebook_test (3).jpg
val,facebook,phishIRIS_DL_Dataset/val/facebook/facebook_test (4).jpg
val,facebook,phishIRIS_DL_Dataset/val/facebook/facebook_test (9).png
val,linkedin,phishIRIS_DL_Dataset/val/linkedin/linkedin_test (1).png
val,linkedin,phishIRIS_DL_Dataset/val/linkedin/linkedin_test (2).png
val,linkedin,phishIRIS_DL_Dataset/val/linkedin/linkedin_test (3).png
val,linkedin,phishIRIS_DL_Dataset/val/linkedin/linkedin_test (4).png
val,linkedin,phishIRIS_DL_Dataset/val/linkedin/linkedin_test (5).jpg
val,linkedin,phishIRIS_DL_Dataset/val/linkedin/linkedin_test (6).jpg
val,linkedin,phishIRIS_DL_Dataset/val/linkedin/linkedin_test (7).jpg
val,linkedin,phishIRIS_DL_Dataset/val/linkedin/linkedin_test (8).jpg
val,microsoft,phishIRIS_DL_Dataset/val/microsoft/microsoft_test (11).png
val,microsoft,phishIRIS_DL_Dataset/val/microsoft/microsoft_test (18).png
val,microsoft,phishIRIS_DL_Dataset/val/microsoft/microsoft_test (2).png
