render_id,source_name,source_sample_id,ground_truth_label,market,channel,quality_tier,template_family,curation_status,notes
syn_v0_1_001,uci_sms_spam_collection,uci_sms_03424,scam,india,sms,clean,india_sms,ready_for_render,
syn_v0_1_002,uci_sms_spam_collection,uci_sms_01925,not_scam,india,sms,clean,india_sms,ready_for_render,
syn_v0_1_003,uci_sms_spam_collection,uci_sms_02380,not_scam,india,sms,clean,india_sms,ready_for_render,
syn_v0_1_004,mendeley_sms_phishing,mendeley_sms_04742,scam,india,sms,clean,india_sms,ready_for_render,
syn_v0_1_005,uci_sms_spam_collection,uci_sms_04322,not_scam,india,sms,clean,india_sms,ready_for_render,
syn_v0_1_006,mendeley_sms_phishing,mendeley_sms_01742,not_scam,india,sms,clean,india_sms,ready_for_render,
syn_v0_1_007,uci_sms_spam_collection,uci_sms_00369,scam,india,sms,clean,india_sms,ready_for_render,
syn_v0_1_008,mendeley_sms_phishing,mendeley_sms_01458,scam,india,sms,clean,india_sms,ready_for_render,
syn_v0_1_009,uci_sms_spam_collection,uci_sms_02991,scam,india,sms,clean,india_sms,ready_for_render,
syn_v0_1_010,uci_sms_spam_collection,uci_sms_01528,not_scam,india,sms,clean,india_sms,ready_for_render,
syn_v0_1_011,mendeley_sms_phishing,mendeley_sms_01365,not_scam,india,sms,clean,india_sms,ready_for_render,
syn_v0_1_012,uci_sms_spam_collection,uci_sms_00421,scam,india,sms,clean,india_sms,ready_for_render,
syn_v0_1_013,uci_sms_spam_collection,uci_sms_01624,scam,india,sms,clean,india_sms,ready_for_render,
syn_v0_1_014,mendeley_sms_phishing,mendeley_sms_03982,scam,india,sms,clean,india_sms,ready_for_render,
syn_v0_1_015,mendeley_sms_phishing,mendeley_sms_03363,scam,india,sms,clean,india_sms,ready_for_render,
syn_v0_1_016,mendeley_sms_phishing,mendeley_sms_03016,scam,india,sms,clean,india_sms,ready_for_render,
syn_v0_1_017,uci_sms_spam_collection,uci_sms_02950,not_scam,india,sms,clean,india_sms,ready_for_render,
syn_v0_1_018,mendeley_sms_phishing,mendeley_sms_00932,not_scam,india,sms,clean,india_sms,ready_for_render,
syn_v0_1_019,mendeley_sms_phishing,mendeley_sms_01745,not_scam,india,sms,clean,india_sms,ready_for_render,
syn_v0_1_020,mendeley_sms_phishing,mendeley_sms_00565,scam,india,sms,clean,india_sms,ready_for_render,
syn_v0_1_021,mendeley_sms_phishing,mendeley_sms_05694,scam,india,sms,clean,india_sms,ready_for_render,
syn_v0_1_022,uci_sms_spam_collection,uci_sms_00358,scam,india,sms,clean,india_sms,ready_for_render,
syn_v0_1_023,uci_sms_spam_collection,uci_sms_01275,scam,india,sms,clean,india_sms,ready_for_render,
syn_v0_1_024,uci_sms_spam_collection,uci_sms_00839,not_scam,india,sms,clean,india_sms,ready_for_render,
syn_v0_1_025,uci_sms_spam_collection,uci_sms_03083,not_scam,india,sms,clean,india_sms,ready_for_render,
syn_v0_1_026,mendeley_sms_phishing,mendeley_sms_04162,scam,india,sms,clean,india_sms,ready_for_render,
syn_v0_1_027,uci_sms_spam_collection,uci_sms_05264,not_scam,india,sms,clean,india_sms,ready_for_render,
syn_v0_1_028,mendeley_sms_phishing,mendeley_sms_03337,not_scam,india,sms,clean,india_sms,ready_for_render,
syn_v0_1_029,uci_sms_spam_collection,uci_sms_05549,not_scam,india,sms,clean,india_sms,ready_for_render,
syn_v0_1_030,mendeley_sms_phishing,mendeley_sms_02443,scam,india,sms,clean,india_sms,ready_for_render,
syn_v0_1_031,uci_sms_spam_collection,uci_sms_03637,not_scam,india,sms,medium,india_sms,ready_for_render,
syn_v0_1_032,mendeley_sms_phishing,mendeley_sms_04004,scam,india,sms,medium,india_sms,ready_for_render,
syn_v0_1_033,uci_sms_spam_collection,uci_sms_03779,scam,india,sms,medium,india_sms,ready_for_render,
syn_v0_1_034,mendeley_sms_phishing,mendeley_sms_01005,not_scam,india,sms,medium,india_sms,ready_for_render,
syn_v0_1_035,mendeley_sms_phishing,mendeley_sms_00870,scam,india,sms,medium,india_sms,ready_for_render,
syn_v0_1_036,mendeley_sms_phishing,mendeley_sms_00860,not_scam,india,whatsapp,medium,india_whatsapp,ready_for_render,
syn_v0_1_037,uci_sms_spam_collection,uci_sms_01173,scam,india,whatsapp,medium,india_whatsapp,ready_for_render,
syn_v0_1_038,mendeley_sms_phishing,mendeley_sms_02585,scam,india,whatsapp,medium,india_whatsapp,ready_for_render,
syn_v0_1_039,mendeley_sms_phishing,mendeley_sms_05722,not_scam,india,whatsapp,medium,india_whatsapp,ready_for_render,
syn_v0_1_040,uci_sms_spam_collection,uci_sms_01843,not_scam,india,whatsapp,medium,india_whatsapp,ready_for_render,
syn_v0_1_041,mendeley_sms_phishing,mendeley_sms_03753,scam,us,whatsapp,medium,us_whatsapp,ready_for_render,
syn_v0_1_042,uci_sms_spam_collection,uci_sms_00068,scam,us,whatsapp,medium,us_whatsapp,ready_for_render,
syn_v0_1_043,uci_sms_spam_collection,uci_sms_01949,not_scam,us,whatsapp,medium,us_whatsapp,ready_for_render,
syn_v0_1_044,uci_sms_spam_collection,uci_sms_04415,not_scam,us,whatsapp,medium,us_whatsapp,ready_for_render,
syn_v0_1_045,mendeley_sms_phishing,mendeley_sms_04776,scam,us,whatsapp,medium,us_whatsapp,ready_for_render,
syn_v0_1_046,mendeley_sms_phishing,mendeley_sms_02453,scam,us,whatsapp,medium,us_whatsapp,ready_for_render,
syn_v0_1_047,mendeley_sms_phishing,mendeley_sms_03961,scam,us,whatsapp,medium,us_whatsapp,ready_for_render,
syn_v0_1_048,mendeley_sms_phishing,mendeley_sms_00581,scam,us,whatsapp,medium,us_whatsapp,ready_for_render,
