render_id,source_name,source_sample_id,seed_id,ground_truth_label,market,channel,quality_tier,template_family,curation_status,output_path,image_width,image_height,sender_display,quality_operations
syn_v0_1_001,uci_sms_spam_collection,uci_sms_03424,uci_sms_03424,scam,india,sms,clean,india_sms,ready_for_render,data/synthetic/renders/v0_1/sms/india/clean/syn_v0_1_001.png,1080,1920,BZ-PAYTM,none
syn_v0_1_002,uci_sms_spam_collection,uci_sms_01925,uci_sms_01925,not_scam,india,sms,clean,india_sms,ready_for_render,data/synthetic/renders/v0_1/sms/india/clean/syn_v0_1_002.png,1080,1920,VK-AMAZON,none
syn_v0_1_003,uci_sms_spam_collection,uci_sms_02380,uci_sms_02380,not_scam,india,sms,clean,india_sms,ready_for_render,data/synthetic/renders/v0_1/sms/india/clean/syn_v0_1_003.png,1080,1920,ICICIB,none
syn_v0_1_004,mendeley_sms_phishing,mendeley_sms_04742,mendeley_sms_04742,scam,india,sms,clean,india_sms,ready_for_render,data/synthetic/renders/v0_1/sms/india/clean/syn_v0_1_004.png,1080,1920,VM-JIOTEL,none
syn_v0_1_005,uci_sms_spam_collection,uci_sms_04322,uci_sms_04322,not_scam,india,sms,clean,india_sms,ready_for_render,data/synthetic/renders/v0_1/sms/india/clean/syn_v0_1_005.png,1080,1920,AXISBK,none
syn_v0_1_006,mendeley_sms_phishing,mendeley_sms_01742,mendeley_sms_01742,not_scam,india,sms,clean,india_sms,ready_for_render,data/synthetic/renders/v0_1/sms/india/clean/syn_v0_1_006.png,1080,1920,AD-AIRTEL,none
syn_v0_1_007,uci_sms_spam_collection,uci_sms_00369,uci_sms_00369,scam,india,sms,clean,india_sms,ready_for_render,data/synthetic/renders/v0_1/sms/india/clean/syn_v0_1_007.png,1080,1920,VM-JIOTEL,none
syn_v0_1_008,mendeley_sms_phishing,mendeley_sms_01458,mendeley_sms_01458,scam,india,sms,clean,india_sms,ready_for_render,data/synthetic/renders/v0_1/sms/india/clean/syn_v0_1_008.png,1080,1920,ICICIB,none
syn_v0_1_009,uci_sms_spam_collection,uci_sms_02991,uci_sms_02991,scam,india,sms,clean,india_sms,ready_for_render,data/synthetic/renders/v0_1/sms/india/clean/syn_v0_1_009.png,1080,1920,VK-AMAZON,none
syn_v0_1_010,uci_sms_spam_collection,uci_sms_01528,uci_sms_01528,not_scam,india,sms,clean,india_sms,ready_for_render,data/synthetic/renders/v0_1/sms/india/clean/syn_v0_1_010.png,1080,1920,AXISBK,none
syn_v0_1_011,mendeley_sms_phishing,mendeley_sms_01365,mendeley_sms_01365,not_scam,india,sms,clean,india_sms,ready_for_render,data/synthetic/renders/v0_1/sms/india/clean/syn_v0_1_011.png,1080,1920,AD-AIRTEL,none
syn_v0_1_012,uci_sms_spam_collection,uci_sms_00421,uci_sms_00421,scam,india,sms,clean,india_sms,ready_for_render,data/synthetic/renders/v0_1/sms/india/clean/syn_v0_1_012.png,1080,1920,AD-AIRTEL,none
